TeamName_FD,TeamName_SR,TeamName_SR_Amended,2015,2016,2017,2018,2019,2020,2021
DUKE,Duke,Duke,ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
OHIO,Ohio,Ohio,MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East)
GTECH,Georgia Tech,Georgia Tech,ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
FLINT,Florida International,Florida International,CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East)
NTX,North Texas,North Texas,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
KANST,Kansas State,Kansas State,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
ARKST,Arkansas State,Arkansas State,Sun Belt,Sun Belt,Sun Belt,Sun Belt (West),Sun Belt (West),Sun Belt (West),Sun Belt (West)
WASH,Washington,Washington,Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North)
WYOM,Wyoming,Wyoming,MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain)
LOUTCH,Louisiana Tech,Louisiana Tech,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
TXAM,Texas A&M,Texas A&M,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
MISSR,Missouri,Missouri,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
SFL,South Florida,South Florida,American (East),American (East),American (East),American (East),American (East),American,American
RUTGER,Rutgers,Rutgers,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
UCF,Central Florida,UCF,American (East),American (East),American (East),American (East),American (East),American,American
COL,Colorado,Colorado,Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South)
LAMON,Louisiana-Monroe,Louisiana-Monroe,Sun Belt,Sun Belt,Sun Belt,Sun Belt (West),Sun Belt (West),Sun Belt (West),Sun Belt (West)
BUF,Buffalo,Buffalo,MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East)
MTNST,Middle Tennessee State,Middle Tennessee State,CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East)
SDST,San Diego State,San Diego State,MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West)
BOSCOL,Boston College,Boston College,ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic)
WISC,Wisconsin,Wisconsin,Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West)
IOWA,Iowa,Iowa,Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West)
MINNST,Minnesota,Minnesota,Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West)
KAN,Kansas,Kansas,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
NAVY,Navy,Navy,American (West),American (West),American (West),American (West),American (West),American,American
SJST,San Jose State,San Jose State,MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West)
USC,Southern California,USC,Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South)
TXST,Texas State,Texas State,Sun Belt,Sun Belt,Sun Belt,Sun Belt (West),Sun Belt (West),Sun Belt (West),Sun Belt (West)
VAND,Vanderbilt,Vanderbilt,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
TXTECH,Texas Tech,Texas Tech,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
AKRON,Akron,Akron,MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East)
ARZ,Arizona,Arizona,Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South),Pac-12 (South)
OLD,Old Dominion,Old Dominion,CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East)
UCONN,Connecticut,Connecticut,American (East),American (East),American (East),American (East),American (East),Ind (East),Ind
TROY,Troy,Troy,Sun Belt,Sun Belt,Sun Belt,Sun Belt (East),Sun Belt (East),Sun Belt (East),Sun Belt (East)
RICE,Rice,Rice,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
TEMPL,Temple,Temple,American (East),American (East),American (East),American (East),American (East),American,American
NMX,New Mexico,New Mexico,MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain)
UMASS,Massachusetts,Massachusetts,MAC (East),Ind,Ind,Ind,Ind,Ind,Ind
ILL,Illinois,Illinois,Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West)
GAS,Georgia Southern,Georgia Southern,Sun Belt,Sun Belt,Sun Belt,Sun Belt (East),Sun Belt (East),Sun Belt (East),Sun Belt (East)
UNLV,Nevada-Las Vegas,Nevada-Las Vegas,MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West)
NW,Northwestern,Northwestern,Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West),Big Ten (West)
SC,South Carolina,South Carolina,SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East),SEC (East)
IND,Indiana,Indiana,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
SOUMIS,Southern Mississippi,Southern Mississippi,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
IDAHO,#N/A,Idaho,Sun Belt,Sun Belt,Sun Belt,#N/A,#N/A,#N/A,#N/A
