Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
218,50046238,Keith Ridley,BRYANT,QB,3,AKRON,2,3,66.7,7,2.3,0,0,70.14,0,0,0,0,0.28
219,50027021,Charlie Brewer,UTAH,QB,3,SDST,14,26,53.8,104,4,0,1,47.6,4,-19,-4.8,0,0.26
220,50046389,Jaren Lewis,KANST,QB,3,NEVADA,2,3,66.7,6,2,0,0,70.14,0,0,0,0,0.24
221,50060974,Evan Simon,RUTGER,QB,3,DEL,0,0,0,0,0,0,0,0,1,2,2,0,0.2
222,50064841,Grayson James,FLINT,QB,3,TXTECH,1,2,50,6,3,0,0,56.25,1,-1,-1,0,0.14
223,50063040,Garrett Nussmeier,LSU,QB,3,CMICH,1,4,25,28,7,0,0,56.25,1,-10,-10,0,0.12
224,50045346,John Stephen Jones,ARK,QB,3,GAS,0,1,0,0,0,0,0,39.58,0,0,0,0,0
224,50058912,Ryan Clark,BRYANT,QB,3,AKRON,0,0,0,0,0,0,0,0,0,0,0,0,0
224,50043558,Zach Gwynn,DEL,QB,3,RUTGER,0,3,0,0,0,0,0,39.58,0,0,0,0,0
224,50063978,Jason Marshall Jr.,FL,QB,3,ALA,0,0,0,0,0,0,0,0,0,0,0,0,0
224,50044013,John-Paul Pierce,GRMBST,QB,3,HOU,0,0,0,0,0,0,0,0,2,0,0,0,0
224,50055317,Jalon Daniels,KAN,QB,3,BAYL,0,1,0,0,0,0,0,39.58,0,0,0,0,0
224,50048201,Johnathan Bennett,LIBRTY,QB,3,OLD,0,1,0,0,0,0,0,39.58,0,0,0,0,0
224,50056387,Mike Diliello,MTNST,QB,3,UTSA,0,0,0,0,0,0,0,0,1,0,0,0,0
224,50063255,Jeremiah Dervil,NMXST,QB,3,SCARST,0,0,0,0,0,0,0,0,0,0,0,0,0
224,50053869,Jason Brown,SC,QB,3,GA,0,1,0,0,0,0,0,39.58,0,0,0,0,0
224,50026280,Isaiah Sanders,STAN,QB,3,VAND,0,0,0,0,0,0,0,0,1,0,0,0,0
224,50063729,Camden Sirmon,WASH,QB,3,ARKST,0,0,0,0,0,0,0,0,0,0,0,0,0
236,50038534,TJ McMahon,RICE,QB,3,TX,0,0,0,0,0,0,0,0,1,-1,-1,0,-0.1
237,50062629,Holman Edwards,HOU,QB,3,GRMBST,0,0,0,0,0,0,0,0,1,-2,-2,0,-0.2
238,50036122,Clayton Tune,HOU,QB,3,GRMBST,4,7,57.1,62,8.9,0,1,47.02,2,-8,-4,0,-0.32
239,50020024,Tyquell Fields,STBR,QB,3,ORE,10,23,43.5,131,5.7,0,3,22.46,6,4,0.7,0,-0.36
240,50046509,Cale Millen,NARZ,QB,3,ARZ,0,0,0,0,0,0,0,0,2,-4,-2,0,-0.4
240,50056934,Katravis Marsh,SFL,QB,3,FLAM,0,3,0,0,0,0,0,39.58,1,-4,-4,0,-0.4
242,50065201,Cameron Friel,UNLV,QB,3,IOWAST,8,13,61.5,67,5.2,0,1,42.79,4,-11,-2.8,0,-0.42
243,50008758,Drew Plitt,BALLST,QB,3,WYOM,8,14,57.1,60,4.3,0,1,37.8,11,-9,-0.8,0,-0.5
243,50055493,Brendon Lewis,COL,QB,3,MINNST,8,16,50,55,3.4,0,0,58.07,7,-27,-3.9,0,-0.5
245,50037514,Layne Hatcher,ARKST,QB,3,WASH,6,11,54.5,44,4,0,1,26.33,4,-3,-0.8,0,-0.54
246,50033477,Stetson Bennett,GA,QB,3,SC,1,3,33.3,4,1.3,0,1,2.78,1,12,12,0,-0.64
247,50046521,Kedon Slovis,USC,QB,3,WASHST,1,2,50,8,4,0,0,60.42,1,-10,-10,0,-0.68
248,50060519,Victor Gabalis,WASHST,QB,3,USC,6,10,60,19,1.9,0,0,64.58,2,-15,-7.5,0,-0.74
249,50011332,Sam Noyer,OREGST,QB,3,IDAHO,1,3,33.3,7,2.3,0,1,2.78,1,2,2,0,-1.52
250,50010765,Terry Wilson,NMX,QB,3,TXAM,10,23,43.5,33,1.4,0,1,32.7,9,-14,-1.6,0,-2.08
251,50048753,Jeff Widener,NARZ,QB,3,ARZ,1,4,25,4,1,0,1,0,2,-3,-1.5,0,-2.14
252,50068478,Ty Keyes,SOUMIS,QB,3,TROY,16,27,59.3,157,5.8,0,2,44.83,19,-45,-2.4,0,-2.22
253,50028461,Davis Shanley,TENTCH,QB,3,TENN,5,10,50,33,3.3,0,2,17.92,1,0,0,0,-2.68
254,50026055,Bailey Hockman,MTNST,QB,3,UTSA,5,12,41.7,41,3.4,0,1,16.32,3,-25,-8.3,0,-2.86
255,50026035,Hunter Johnson,NW,QB,3,DUKE,6,16,37.5,75,4.7,0,3,13.28,4,-10,-2.5,0,-4
