Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
253,50048136,Javion Posey,FLATL,QB,2,GAS,0,0,0,0,0,0,0,0,1,3,3,0,0.6
253,50046457,Mariano Valenti,TEMPL,QB,2,AKRON,0,0,0,0,0,0,0,0,2,6,3,0,0.6
255,50056934,Katravis Marsh,SFL,QB,2,FL,1,1,100,14,14,0,0,118.75,0,0,0,0,0.56
256,50036098,Ben Bryant,EMICH,QB,2,WISC,4,7,57.1,23,3.3,0,0,63.39,4,-4,-1,0,0.52
256,50054469,Haynes King,TXAM,QB,2,COL,1,2,50,8,4,0,0,60.42,1,2,2,0,0.52
258,50061153,CJ Jordan,IDAHO,QB,2,IND,0,3,0,0,0,0,0,39.58,1,5,5,0,0.5
258,50064534,Kai Horton,TULANE,QB,2,MORGST,0,0,0,0,0,0,0,0,2,5,2.5,0,0.5
260,50064905,Tyler Pape,CMICH,QB,2,ROBMS,2,2,100,12,6,0,0,91.67,0,0,0,0,0.48
260,50045768,Kinkead Dent,MISS,QB,2,AUSP,2,2,100,7,3.5,0,0,81.25,1,2,2,0,0.48
262,50058649,Joe Owens Jr.,ALAST,QB,2,AUBRN,0,0,0,0,0,0,0,0,2,4,2,0,0.4
262,50036372,Johnny Langan,RUTGER,QB,2,SYRA,0,0,0,0,0,0,0,0,3,4,1.3,0,0.4
264,50042883,Jonah Fitzgerald,NORFST,QB,2,WAKE,0,0,0,0,0,0,0,0,1,3,3,0,0.3
265,50057005,Blake Shapen,BAYL,QB,2,TXS,1,1,100,7,7,0,0,95.83,0,0,0,0,0.28
266,50063040,Garrett Nussmeier,LSU,QB,2,MCNST,3,10,30,19,1.9,0,0,39.58,1,-5,-5,0,0.26
267,50029820,Kurtis Wilderman,INDST,QB,2,NW,1,1,100,6,6,0,0,91.67,0,0,0,0,0.24
267,50046153,Evan Conley,LOU,QB,2,EKENT,1,3,33.3,6,2,0,0,42.36,0,0,0,0,0.24
269,50049061,George Martin,ROBMS,QB,2,CMICH,5,8,62.5,13,1.6,0,0,66.67,1,-3,-3,0,0.22
270,50060366,Zamar Wise,UMASS,QB,2,BOSCOL,0,0,0,0,0,0,0,0,2,2,1,0,0.2
271,50069167,Zachary Yeager,NCAT,QB,2,DUKE,2,2,100,3,1.5,0,0,79.17,0,0,0,0,0.12
272,50042239,Brandon Bass,BAYL,QB,2,TXS,0,0,0,0,0,0,0,0,1,1,1,0,0.1
272,50036047,Trad Beatty,GTECH,QB,2,KENEST,0,0,0,0,0,0,0,0,1,1,1,0,0.1
272,50060843,DJ Williams,MURST,QB,2,CIN,0,0,0,0,0,0,0,0,1,1,1,0,0.1
272,50042545,Trae Hall,NMX,QB,2,NMXST,0,0,0,0,0,0,0,0,1,1,1,0,0.1
276,50017765,Grant Loy,AUBRN,QB,2,ALAST,0,0,0,0,0,0,0,0,0,0,0,0,0
276,50066440,DJ Boney,EKENT,QB,2,LOU,0,0,0,0,0,0,0,0,0,0,0,0,0
276,50063978,Jason Marshall Jr.,FL,QB,2,SFL,0,0,0,0,0,0,0,0,0,0,0,0,0
276,50039897,Jemichael Jones,HOWRD,QB,2,MARY,0,0,0,0,0,0,0,0,0,0,0,0,0
276,50070133,Duce Taylor,MORGST,QB,2,TULANE,0,1,0,0,0,0,0,39.58,0,0,0,0,0
276,50054110,Ben Finley,NCST,QB,2,MSPST,0,1,0,0,0,0,0,39.58,0,0,0,0,0
276,50059973,Christian Westcott,SELOU,QB,2,LOUTCH,0,0,0,0,0,0,0,0,0,0,0,0,0
276,50067111,Jay Woolfolk,VIR,QB,2,ILL,0,1,0,0,0,0,0,39.58,0,0,0,0,0
276,50060519,Victor Gabalis,WASHST,QB,2,PORTST,0,3,0,0,0,0,0,39.58,0,0,0,0,0
285,50061668,Mike Chandler,LAMAR,QB,2,UTSA,0,2,0,0,0,0,0,39.58,1,-1,-1,0,-0.1
286,50038873,Dylan Hopkins,UAB,QB,2,GA,2,3,66.7,8,2.7,0,0,70.14,7,-5,-0.7,0,-0.18
287,50059578,Jackson Waring,ILLST,QB,2,WMICH,0,0,0,0,0,0,0,0,1,-2,-2,0,-0.2
288,50058117,Michael Alaimo,PUR,QB,2,UCONN,0,0,0,0,0,0,0,0,1,-3,-3,0,-0.3
288,50063317,Santino Marucci,WAKE,QB,2,NORFST,0,0,0,0,0,0,0,0,1,-3,-3,0,-0.3
290,50061345,Jy Tolen,GARDWB,QB,2,CHARLT,1,3,33.3,1,0.3,0,0,42.36,1,-4,-4,0,-0.36
291,50036837,Brock Purdy,IOWAST,QB,2,IOWA,13,27,48.1,138,5.1,0,3,23.92,6,1,0.2,0,-0.38
292,50038912,Jairus Grissom,MORGST,QB,2,TULANE,0,2,0,0,0,0,0,39.58,3,-4,-1.3,0,-0.4
293,50066073,Undre Lindsey,HOWRD,QB,2,MARY,0,0,0,0,0,0,0,0,1,-5,-5,0,-0.5
293,50068382,Kevin Melore,LIUB,QB,2,WVIR,0,1,0,0,0,0,0,39.58,4,-5,-1.2,0,-0.5
293,50054074,Iraken Armstead,VIR,QB,2,ILL,0,1,0,0,0,0,0,39.58,4,-5,-1.2,0,-0.5
296,50059263,Hunter Hays,IDHST,QB,2,NEVADA,5,8,62.5,35,4.4,0,0,72.4,10,-20,-2,0,-0.6
297,50019989,Armani Rogers,OHIO,QB,2,DUQ,0,0,0,0,0,0,0,0,1,-9,-9,0,-0.9
298,50041953,Chase Wolf,WISC,QB,2,EMICH,2,3,66.7,25,8.3,0,1,52.78,0,0,0,0,-1
299,50045574,Leo Kelly,WAKE,QB,2,NORFST,1,4,25,8,2,0,1,0,1,4,4,0,-1.28
300,50027213,Aldon Clark,GRMBST,QB,2,SOUMIS,8,19,42.1,60,3.2,0,1,28.4,5,-17,-3.4,0,-1.3
301,50038067,Justin Rogers,UNLV,QB,2,ARZST,1,5,20,7,1.4,0,0,39.58,4,-16,-4,0,-1.32
302,50022659,Bryce Jefferson,ILLST,QB,2,WMICH,8,19,42.1,29,1.5,0,1,27.74,7,-5,-0.7,0,-1.34
303,50057844,Carter Peevy,MERC,QB,2,ALA,1,3,33.3,9,3,0,1,2.78,4,-7,-1.8,0,-2.34
304,50049244,Seth Morgan,VAMIL,QB,2,KENTST,10,24,41.7,55,2.3,0,3,9.72,3,6,2,0,-3.2
305,50026129,Tyler Johnston III,UAB,QB,2,GA,6,14,42.9,39,2.8,0,3,10.71,3,2,0.7,0,-4.24
