Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
471,50037808,Jarveon Howard,SYRA,RB,1,OHIO,1,3,3,0,1,8,0,0,0,1.1
471,50024284,Ethan Fernea,UCLA,RB,1,HAWAII,4,11,2.8,0,0,0,0,0,0,1.1
471,50007104,Quardraiz Wadley,UTEP,RB,1,BCOOK,4,11,2.8,0,0,0,0,0,0,1.1
484,50059045,Jorden Gidrey,AIRF,RB,1,LAFAY,2,10,5,0,0,0,0,0,0,1
484,50036287,Lyn-J Dixon,CLMSN,RB,1,GA,1,10,10,0,0,0,0,0,0,1
484,50007738,James Charles,FLATL,RB,1,FL,2,10,5,0,0,0,0,0,0,1
484,50043531,Tucker Gregg,GAST,RB,1,ARMY,0,0,0,0,1,10,0,0,0,1
484,50055412,Kevin Davis,MIAOH,RB,1,CIN,4,10,2.5,0,0,0,0,0,0,1
484,50028677,Andrew Clair,NW,RB,1,MST,4,14,3.5,0,1,-4,0,0,0,1
484,50046305,Marcus Cisco,NW,RB,1,MST,3,10,3.3,0,0,0,0,0,0,1
484,50054045,Nathan Carter,UCONN,RB,1,FREST,8,10,1.2,0,0,0,0,0,0,1
484,50036768,T.J. Pledger,UTAH,RB,1,WEBST,2,10,5,0,0,0,0,0,0,1
493,50039978,John Cox,COLG,RB,1,BOSCOL,2,9,4.5,0,0,0,0,0,0,0.9
493,50038997,Isaiah Lewis,EWASH,RB,1,UNLV,1,2,2,0,1,7,0,0,0,0.9
493,50045723,Nay'Quan Wright,FL,RB,1,FLATL,3,5,1.7,0,1,4,0,0,0,0.9
493,50046362,Jirehl Brock,IOWAST,RB,1,NIOWA,2,9,4.5,0,0,0,0,0,0,0.9
493,50070040,Andrew Henry,LAMON,RB,1,UK,8,9,1.1,0,0,0,0,0,0,0.9
493,50046226,Delbert Mimms III,NCST,RB,1,SFL,1,9,9,0,0,0,0,0,0,0.9
493,50048747,Isaiah Williams,SUTAH,RB,1,ARZST,0,0,0,0,2,9,0,0,0,0.9
493,50046513,Jayvaun Wilson,UNLV,RB,1,EWASH,1,9,9,0,0,0,0,0,0,0.9
493,50028464,Jakairi Moses,WKENT,RB,1,TMRT,2,9,4.5,0,0,0,0,0,0,0.9
493,50044126,Elijah Burns,WM,RB,1,VIR,4,9,2.2,0,0,0,0,0,0,0.9
493,50058440,Mattijs Lasore,WM,RB,1,VIR,3,9,3,0,0,0,0,0,0,0.9
