Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
1,50045582,Kenneth Walker III,MST,RB,1,NW,23,264,11.5,4,0,0,0,0,0,50.4
2,50036262,Mataeo Durant,DUKE,RB,1,CHARLT,29,255,8.8,3,2,37,0,1,1,47.2
3,50036929,DeAndre Torrey,NTX,RB,1,NWST,25,244,9.8,3,1,12,0,0,0,43.6
4,50038560,Tyler Badie,MISSR,RB,1,CMICH,25,203,8.1,1,3,40,1,0,0,36.3
5,50028773,D'Vonte Price,FLINT,RB,1,LIUB,5,165,33,3,0,0,0,0,0,34.5
6,50036340,Ricky Person Jr.,NCST,RB,1,SFL,16,105,6.6,2,3,43,1,0,0,32.8
7,50018427,Charles Williams,UNLV,RB,1,EWASH,27,172,6.4,2,1,9,0,0,0,30.1
8,50048080,Zach Charbonnet,UCLA,RB,1,HAWAII,6,106,17.7,3,1,14,0,0,0,30
9,50056395,Rasheen Ali,MARSH,RB,1,NAVY,14,59,4.2,4,0,0,0,1,0,29.9
10,50057010,Bijan Robinson,TX,RB,1,LOULAF,20,103,5.2,1,4,73,1,0,0,29.6
11,50037889,Leddie Brown,WVIR,RB,1,MARY,16,69,4.3,2,4,43,1,1,1,29.2
12,50026063,Zaquandre White,SC,RB,1,EILL,12,128,10.7,1,4,39,1,0,0,28.7
13,50026762,Mohamed Ibrahim,MINNST,RB,1,OHIOST,30,163,5.4,2,0,0,0,0,0,28.3
14,50056634,Jo'quavious Marks,MSPST,RB,1,LOUTCH,12,71,5.9,2,9,27,1,0,0,27.8
15,50031158,Pierre Strong Jr.,SDKST,RB,1,COLST,13,138,10.6,2,3,8,0,0,0,26.6
16,50036640,Isaiah Bowser,UCF,RB,1,BOISE,32,170,5.3,1,4,29,0,0,0,25.9
17,50056121,Tank Bigsby,AUBRN,RB,1,AKRON,13,119,9.2,2,1,19,0,0,0,25.8
18,50057011,Tahj Brooks,TXTECH,RB,1,HOU,15,134,8.9,2,0,0,0,0,0,25.4
19,50056966,Blake Corum,MICH,RB,1,WMICH,14,111,7.9,1,2,22,1,0,0,25.3
20,50057767,Devon Achane,TXAM,RB,1,KENTST,12,124,10.3,2,0,0,0,0,0,24.4
21,50042101,Deneric Prince,TULSA,RB,1,UCDV,14,179,12.8,1,1,4,0,0,0,24.3
22,50027280,Logan Wright,GAS,RB,1,GARDWB,26,178,6.8,1,1,4,0,0,0,24.2
23,50027025,Abram Smith,BAYL,RB,1,TXST,19,118,6.2,2,1,3,0,1,1,24.1
23,50057654,Sean Tucker,SYRA,RB,1,OHIO,25,181,7.2,1,0,0,0,0,0,24.1
25,50046224,Zonovan Knight,NCST,RB,1,SFL,16,163,10.2,1,2,16,0,0,0,23.9
26,50048448,Lew Nichols III,CMICH,RB,1,MISSR,19,135,7.1,1,4,40,0,0,0,23.5
27,50036092,Tavion Thomas,UTAH,RB,1,WEBST,12,107,8.9,2,0,0,0,1,1,22.7
28,50036595,Greg Bell,SDST,RB,1,NMXST,21,161,7.7,1,0,0,0,1,1,22.1
29,50037559,Camerun Peoples,APPLST,RB,1,ECAR,14,100,7.1,2,0,0,0,0,0,22
29,50054752,Shermari Jones,COAST,RB,1,CITA,9,100,11.1,2,0,0,0,0,0,22
29,50055438,Harrison Waylee,NILL,RB,1,GTECH,27,144,5.3,1,1,16,0,1,1,22
32,50048080,Zach Charbonnet,UCLA,RB,1,LSU,11,117,10.6,1,1,35,0,0,0,21.2
33,50042094,Jashaun Corbin,FLST,RB,1,ND,15,144,9.6,1,3,6,0,0,0,21
34,50055894,Brandon Thomas,MPHS,RB,1,NICHLS,16,147,9.2,1,0,0,0,0,0,20.7
34,50026893,Bryant Koback,TOLEDO,RB,1,NORFST,9,52,5.8,2,3,35,0,0,0,20.7
34,50028951,Ronald Awatt,UTEP,RB,1,BCOOK,19,126,6.6,1,1,21,0,0,0,20.7
37,50032479,Kevin Marks Jr.,BUF,RB,1,WAG,13,72,5.5,2,1,9,0,0,0,20.1
38,50041839,Jerome Ford,CIN,RB,1,MIAOH,12,121,10.1,1,2,19,0,0,0,20
39,50058879,Dae Dae Hunter,HAWAII,RB,1,PORTST,16,128,8,1,1,8,0,0,0,19.6
39,50057027,Deuce Vaughn,KANST,RB,1,STAN,13,124,9.5,1,2,12,0,0,0,19.6
41,50038454,Chris Rodriguez Jr.,UK,RB,1,LAMON,19,125,6.6,1,2,10,0,0,0,19.5
42,50026619,Christian Beal-Smith,WAKE,RB,1,OLD,11,74,6.7,2,0,0,0,0,0,19.4
43,50036462,Samson Evans,EMICH,RB,1,STFPA,5,11,2.2,3,0,0,0,0,0,19.1
44,50060516,Rachaad White,ARZST,RB,1,SUTAH,7,58,8.3,2,1,11,0,0,0,18.9
44,50036373,David Bailey,COLST,RB,1,SDKST,19,46,2.4,1,3,23,1,0,0,18.9
44,50056926,Keaton Mitchell,ECAR,RB,1,APPLST,4,50,12.5,0,5,79,1,0,0,18.9
44,50046173,Chez Mellusi,WISC,RB,1,PENNST,31,121,3.9,1,2,8,0,0,0,18.9
48,50061756,Scooter Adams,NWST,RB,1,NTX,12,92,7.7,1,7,36,0,2,2,18.8
49,50038763,Brenden Brady,UTSA,RB,1,ILL,11,67,6.1,2,0,0,0,0,0,18.7
50,50048185,Kyren Williams,ND,RB,1,FLST,18,42,2.3,0,6,83,1,0,0,18.5
50,50058207,Miyan Williams,OHIOST,RB,1,MINNST,9,125,13.9,1,0,0,0,0,0,18.5
52,50028158,Ronnie Rivers,FREST,RB,1,UCONN,13,58,4.5,0,2,66,1,0,0,18.4
53,50046252,Reese White,COAST,RB,1,CITA,7,62,8.9,2,0,0,0,0,0,18.2
54,50057784,Jabari Small,TENN,RB,1,BOWLGR,22,116,5.3,1,1,5,0,0,0,18.1
55,50045766,Snoop Conner,MISS,RB,1,LOU,8,60,7.5,2,0,0,0,0,0,18
56,50064795,Calvin Turner Jr.,HAWAII,RB,1,PORTST,3,36,12,1,5,82,0,3,1,17.8
57,50049468,Travis Theis,SDAK,RB,1,KAN,18,96,5.3,1,1,21,0,0,0,17.7
58,50037455,Dameon Pierce,FL,RB,1,FLATL,6,31,5.2,2,5,25,0,0,0,17.6
58,50063803,Tiyon Evans,TENN,RB,1,BOWLGR,16,116,7.2,1,0,0,0,0,0,17.6
60,50046459,Darius Boone Jr.,EMICH,RB,1,STFPA,22,107,4.9,1,1,8,0,0,0,17.5
61,50027850,Tyler Nevens,SJST,RB,1,SUTAH,12,91,7.6,1,2,23,0,0,0,17.4
62,50037422,Max Borghi,WASHST,RB,1,UTAHST,11,86,7.8,1,1,27,0,0,0,17.3
63,50054896,DeaMonte Trayanum,ARZST,RB,1,SUTAH,6,52,8.7,2,0,0,0,0,0,17.2
64,50067916,Jarquez Hunter,AUBRN,RB,1,AKRON,9,110,12.2,1,0,0,0,0,0,17
64,50037751,Cameron Carroll,TULANE,RB,1,OKL,10,31,3.1,0,4,19,2,0,0,17
66,50046257,Tyler Goodson,IOWA,RB,1,IND,19,99,5.2,1,2,9,0,1,1,16.8
67,50046818,Jordan Waters,DUKE,RB,1,CHARLT,5,65,13,0,2,40,1,0,0,16.5
67,50060967,Kyle Monangai,RUTGER,RB,1,TEMPL,8,28,3.5,2,1,17,0,0,0,16.5
67,50046677,Jamontez Woods,TROY,RB,1,SOUTH,13,28,2.2,2,2,17,0,0,0,16.5
70,50026911,Malik Davis,FL,RB,1,FLATL,14,104,7.4,1,0,0,0,0,0,16.4
71,50041884,Shaun Shivers,AUBRN,RB,1,AKRON,2,24,12,1,1,19,1,0,0,16.3
71,50034292,Que'Shaun Byrd,BCOOK,RB,1,UTEP,12,98,8.2,1,1,5,0,0,0,16.3
73,50028281,Trelon Smith,ARK,RB,1,RICE,22,102,4.6,1,0,0,0,0,0,16.2
74,50042832,Tyler Allgeier,BYU,RB,1,ARZ,17,94,5.5,1,1,7,0,0,0,16.1
74,50037329,Jarek Broussard,COL,RB,1,NCOL,15,94,6.3,1,1,7,0,0,0,16.1
76,50046366,Breece Hall,IOWAST,RB,1,NIOWA,23,69,3,1,4,31,0,0,0,16
77,50041075,Sheldon Evans,MARSH,RB,1,NAVY,9,27,3,2,3,12,0,1,1,15.9
77,50001926,Brittain Brown,UCLA,RB,1,HAWAII,13,78,6,1,2,21,0,0,0,15.9
79,50039906,Dedrick Parson,HAWAII,RB,1,PORTST,11,38,3.5,2,0,0,0,0,0,15.8
80,50048415,Ron Cook Jr.,BUF,RB,1,WAG,14,94,6.7,1,1,2,0,0,0,15.6
80,50001926,Brittain Brown,UCLA,RB,1,LSU,17,96,5.6,1,0,0,0,0,0,15.6
82,50060413,Damien Moore,CAH,RB,1,NEVADA,15,79,5.3,1,3,16,0,0,0,15.5
83,50032367,Calvin Tyler Jr.,UTAHST,RB,1,WASHST,14,84,6,1,3,10,0,0,0,15.4
84,50033698,Will Jones,BALLST,RB,1,WILL,18,93,5.2,1,0,0,0,0,0,15.3
84,50045475,Rodrigues Clark,MPHS,RB,1,NICHLS,9,84,9.3,1,1,9,0,0,0,15.3
86,50033017,Zander Horvath,PUR,RB,1,OREGST,21,81,3.9,1,4,11,0,0,0,15.2
87,50054767,Sevion Morrison,NEBR,RB,1,FORDM,9,31,3.4,2,1,-1,0,0,0,15
88,50035669,Quay Holmes,ETNST,RB,1,VAND,23,149,6.5,0,2,-1,0,0,0,14.8
88,50046654,Gerald Green,GAS,RB,1,GARDWB,11,72,6.5,1,1,16,0,0,0,14.8
88,50045770,Jerrion Ealy,MISS,RB,1,LOU,12,37,3.1,1,3,51,0,0,0,14.8
91,50042308,Dylan McDuffie,BUF,RB,1,WAG,4,27,6.8,2,0,0,0,0,0,14.7
91,50026965,Kennedy Brooks,OKL,RB,1,TULANE,14,87,6.2,1,0,0,0,0,0,14.7
93,50062519,TreVeyon Henderson,OHIOST,RB,1,MINNST,2,15,7.5,0,1,70,1,0,0,14.5
94,50032365,B.J. Baylor,OREGST,RB,1,PUR,9,24,2.7,2,0,0,0,1,0,14.4
94,50060221,Isaiah Davis,SDKST,RB,1,COLST,15,84,5.6,1,0,0,0,0,0,14.4
94,50048304,Jermaine Brown Jr.,UAB,RB,1,JAXST,14,78,5.6,1,1,6,0,0,0,14.4
97,50056961,Braydon Bennett,COAST,RB,1,CITA,5,49,9.8,1,3,33,0,0,0,14.2
97,50045974,Edward Saydee,TEMPL,RB,1,RUTGER,12,57,4.8,1,2,25,0,0,0,14.2
97,50026859,Xazavian Valladay,WYOM,RB,1,MONST,19,77,4.1,1,1,5,0,0,0,14.2
100,50054967,Kimani Vidal,TROY,RB,1,SOUTH,15,81,5.4,1,0,0,0,0,0,14.1
101,50067503,Carson Steele,BALLST,RB,1,WILL,7,79,11.3,1,0,0,0,1,0,13.9
102,50017408,Dennis Merritt,EWASH,RB,1,UNLV,18,58,3.2,1,2,20,0,0,0,13.8
103,50026730,Mike Epstein,ILL,RB,1,NEBR,16,75,4.7,1,1,2,0,0,0,13.7
103,50048559,Isaiah Spiller,TXAM,RB,1,KENTST,17,113,6.6,0,2,24,0,0,0,13.7
105,50052358,Treshaun Ward,FLST,RB,1,ND,11,76,6.9,1,0,0,0,0,0,13.6
105,50039214,Isaiah Ifanse,MONST,RB,1,WYOM,16,103,6.4,0,4,33,0,0,0,13.6
105,50027874,CJ Verdell,ORE,RB,1,FREST,18,74,4.1,1,1,2,0,0,0,13.6
108,50048249,Noah Cain,PENNST,RB,1,WISC,8,48,6,1,5,27,0,0,0,13.5
109,50027313,Tayon Fleet-Davis,MARY,RB,1,WVIR,18,123,6.8,0,3,11,0,0,0,13.4
109,50028951,Ronald Awatt,UTEP,RB,1,NMXST,11,74,6.7,1,0,0,0,0,0,13.4
111,50038836,Chris Smith,LOULAF,RB,1,TX,11,54,4.9,1,4,19,0,0,0,13.3
112,50034965,Alan Lamar,ARKST,RB,1,CARK,18,67,3.7,1,2,3,0,0,0,13
112,50046536,Michael Wiley,ARZ,RB,1,BYU,15,64,4.3,0,6,66,0,0,0,13
112,50041774,Hassan Haskins,MICH,RB,1,WMICH,13,70,5.4,1,1,0,0,0,0,13
115,50056670,Nate Noel,APPLST,RB,1,ECAR,15,126,8.4,0,1,3,0,0,0,12.9
115,50037245,Travis Dye,ORE,RB,1,FREST,13,64,4.9,1,1,5,0,0,0,12.9
117,50042959,Jordan Byrd,SDST,RB,1,NMXST,3,48,16,1,1,18,0,1,1,12.6
118,50000999,Jawon Hamilton,EMICH,RB,1,STFPA,15,64,4.3,1,0,0,0,0,0,12.4
118,50016089,B.J. Smith,TROY,RB,1,SOUTH,10,54,5.4,1,1,10,0,0,0,12.4
120,50057529,Nathan Storch,CITA,RB,1,COAST,23,65,2.8,1,1,-2,0,0,0,12.3
121,50027850,Tyler Nevens,SJST,RB,1,USC,15,58,3.9,1,2,3,0,0,0,12.1
122,50028159,Jordan Mims,FREST,RB,1,UCONN,7,38,5.4,1,2,22,0,0,0,12
122,50018371,Joshua Mack,LIBRTY,RB,1,CAMP,19,60,3.2,1,0,0,0,1,0,12
124,50060234,Shomari Lawrence,SDAK,RB,1,KAN,11,59,5.4,1,2,0,0,1,0,11.9
125,50056408,Willie Eldridge,UTEP,RB,1,BCOOK,14,118,8.4,0,0,0,0,0,0,11.8
126,50037746,Amare Jones,GAS,RB,1,GARDWB,19,98,5.2,0,0,0,0,0,0,11.6
126,50054098,Jahmyr Gibbs,GTECH,RB,1,NILL,20,99,5,0,3,17,0,0,0,11.6
126,50048407,Sincere McCormick,UTSA,RB,1,ILL,31,117,3.8,0,1,-1,0,0,0,11.6
129,50033121,Trestan Ebner,BAYL,RB,1,TXST,20,120,6,0,1,-6,0,0,0,11.4
129,50054322,Kendre Miller,TCU,RB,1,DUQ,8,54,6.8,1,0,0,0,0,0,11.4
131,50056608,Tyrell Robinson,ARMY,RB,1,GAST,3,12,4,0,1,40,1,1,0,11.2
131,50036192,Johnny Ford,FLATL,RB,1,FL,10,52,5.2,1,1,0,0,0,0,11.2
131,50052912,Malik Walker,PORTST,RB,1,HAWAII,11,58,5.3,1,2,-6,0,0,0,11.2
134,50059905,Brad Roberts,AIRF,RB,1,LAFAY,25,111,4.4,0,0,0,0,0,0,11.1
134,50048411,Tajay Ahmed,BUF,RB,1,WAG,5,51,10.2,1,0,0,0,0,0,11.1
134,50055489,Ashaad Clayton,COL,RB,1,NCOL,8,51,6.4,1,0,0,0,0,0,11.1
137,50046308,Evan Hull,NW,RB,1,MST,9,87,9.7,0,3,23,0,0,0,11
137,50036718,Isaih Pacheco,RUTGER,RB,1,TEMPL,15,48,3.2,1,1,2,0,0,0,11
137,50050798,Deion Hankins,UTEP,RB,1,NMXST,11,50,4.5,1,0,0,0,0,0,11
140,50038328,Destin Coates,GAST,RB,1,ARMY,13,48,3.7,1,0,0,0,1,1,10.8
140,50055369,Isaiah Johnson,NTX,RB,1,NWST,11,48,4.4,1,0,0,0,0,0,10.8
142,50039941,Kazmeir Allen,UCLA,RB,1,HAWAII,0,0,0,0,2,47,1,0,0,10.7
143,50026083,Travis Levy,BOSCOL,RB,1,COLG,9,32,3.6,1,1,14,0,0,0,10.6
143,50048207,Shedro Louis,LIBRTY,RB,1,CAMP,3,46,15.3,1,0,0,0,0,0,10.6
145,50038017,Jahmyl Jeter,TXST,RB,1,BAYL,8,45,5.6,1,0,0,0,0,0,10.5
146,50054894,Daniyel Ngata,ARZST,RB,1,SUTAH,11,37,3.4,1,1,7,0,0,0,10.4
146,50026526,A.J. Davis Jr.,PITT,RB,1,UMASS,2,21,10.5,1,4,23,0,1,1,10.4
146,50056431,Frank Gore Jr.,SOUMIS,RB,1,SALA,19,81,4.3,0,1,23,0,0,0,10.4
149,50055392,Jonzell Norrils,AKRON,RB,1,AUBRN,12,22,1.8,0,2,21,1,0,0,10.3
150,50028230,Alex Fontenot,COL,RB,1,NCOL,8,40,5,1,1,2,0,0,0,10.2
151,50045825,Trey Sanders,ALA,RB,1,MIA,8,41,5.1,1,0,0,0,0,0,10.1
151,50046253,Shadrick Byrd,CHARLT,RB,1,DUKE,10,30,3,0,1,11,1,1,0,10.1
151,50056276,Chris Tyree,ND,RB,1,FLST,7,31,4.4,1,4,10,0,0,0,10.1
151,50043033,Markese Stepp,NEBR,RB,1,FORDM,18,101,5.6,0,0,0,0,0,0,10.1
151,50046180,Vincent Davis,PITT,RB,1,UMASS,6,32,5.3,1,1,9,0,0,0,10.1
156,50054921,Elijah Young,MISSR,RB,1,CMICH,5,29,5.8,1,1,11,0,0,0,10
156,50043033,Markese Stepp,NEBR,RB,1,ILL,3,10,3.3,1,1,30,0,0,0,10
156,50061011,Marques DeShields,STFPA,RB,1,EMICH,10,33,3.3,1,1,7,0,0,0,10
159,50039518,Juwon Farri,MONM,RB,1,MTNST,18,99,5.5,0,0,0,0,0,0,9.9
160,50052850,Jakobi Buchanan,ARMY,RB,1,GAST,11,38,3.5,1,0,0,0,0,0,9.8
160,50028337,Marquavius Weaver,MPHS,RB,1,NICHLS,10,19,1.9,1,1,19,0,0,0,9.8
160,50043613,La'Darius Jefferson,WMICH,RB,1,MICH,10,38,3.8,1,0,0,0,0,0,9.8
163,50055419,Kenny Tracy,MIAOH,RB,1,CIN,8,37,4.6,1,0,0,0,0,0,9.7
163,50048269,Aaron Young,RUTGER,RB,1,TEMPL,8,26,3.2,1,2,11,0,0,0,9.7
165,50042901,Shaun Peterson Jr.,FLINT,RB,1,LIUB,8,36,4.5,1,0,0,0,0,0,9.6
165,50036330,Jordan Mason,GTECH,RB,1,NILL,15,96,6.4,0,0,0,0,0,0,9.6
167,50037327,Deion Smith,COL,RB,1,NCOL,4,32,8,1,0,0,0,0,0,9.2
167,50006168,LD Brown,OKST,RB,1,MSRST,15,30,2,1,2,2,0,1,1,9.2
167,50038050,Emari Demercado,TCU,RB,1,DUQ,5,32,6.4,1,0,0,0,0,0,9.2
167,50028733,Shamari Brooks,TULSA,RB,1,UCDV,10,88,8.8,0,1,4,0,0,0,9.2
171,50028871,Darius Bracy,CMICH,RB,1,MISSR,3,62,20.7,0,1,29,0,0,0,9.1
171,50037940,Keaontay Ingram,USC,RB,1,SJST,15,86,5.7,0,1,5,0,0,0,9.1
173,50052861,Braheam Murphy,ARMY,RB,1,GAST,1,-2,-2,0,1,32,1,0,0,9
173,50054770,Marvin Scott III,NEBR,RB,1,FORDM,6,30,5,1,0,0,0,0,0,9
173,50056278,Israel Abanikanda,PITT,RB,1,UMASS,7,30,4.3,1,0,0,0,0,0,9
176,50046234,Pat Garwo III,BOSCOL,RB,1,COLG,4,29,7.2,1,0,0,0,0,0,8.9
176,50004137,Kareem Walker,SALA,RB,1,SOUMIS,18,26,1.4,0,2,3,1,0,0,8.9
178,50056612,Riley Tyson,ARMY,RB,1,GAST,6,27,4.5,1,0,0,0,0,0,8.7
178,50042570,Andrew Van Buren,BOISE,RB,1,UCF,10,26,2.6,1,1,1,0,0,0,8.7
178,50038306,Zamir White,GA,RB,1,CLMSN,13,74,5.7,0,1,13,0,1,0,8.7
178,50054314,Zach Evans,TCU,RB,1,DUQ,5,27,5.4,1,0,0,0,0,0,8.7
182,50019875,Clint Ratkovich,NILL,RB,1,GTECH,7,13,1.9,0,3,13,1,0,0,8.6
182,50061210,David Moore III,SUTAH,RB,1,ARZST,4,26,6.5,1,2,0,0,0,0,8.6
184,50043751,Aaron Thompson,BCOOK,RB,1,UTEP,7,25,3.6,1,0,0,0,0,0,8.5
184,50036084,Ryan Montgomery,CIN,RB,1,MIAOH,3,17,5.7,0,1,8,1,1,1,8.5
184,50017525,Tru Wilson,NCOL,RB,1,COL,6,16,2.7,0,8,69,0,0,0,8.5
184,50037806,Cooper Lutz,SYRA,RB,1,OHIO,5,25,5,1,0,0,0,0,0,8.5
184,50030156,Ulonzo Gilliam Jr.,UCDV,RB,1,TULSA,25,64,2.6,0,3,21,0,0,0,8.5
184,50037296,Richard Newton,WASH,RB,1,MONT,17,62,3.6,0,4,23,0,0,0,8.5
190,50056990,Jordon Simmons,MST,RB,1,NW,5,10,2,0,1,14,1,0,0,8.4
190,50028619,Chaton Mobley,MTNST,RB,1,MONM,4,24,6,1,0,0,0,0,0,8.4
190,50046505,Jaylen Warren,OKST,RB,1,MSRST,6,9,1.5,1,2,15,0,0,0,8.4
193,50048101,Jacquez Stuart,TOLEDO,RB,1,NORFST,4,23,5.8,1,0,0,0,0,0,8.3
194,50052953,Trey Wilson III,FORDM,RB,1,NEBR,13,75,5.8,0,2,7,0,0,0,8.2
194,50035790,Selwyn Simpson,LAFAY,RB,1,AIRF,5,22,4.4,1,0,0,0,0,0,8.2
194,50062486,Xavier Harris,MONT,RB,1,WASH,15,70,4.7,0,2,12,0,0,0,8.2
194,50033085,Raheem Blackshear,VTECH,RB,1,NCAR,11,16,1.5,0,3,66,0,1,0,8.2
