Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
80,50003026,Taylor Edwards,UMASS,TE,1,PITT,1,32,0,32,32,0,0,0,0,0,0,3.2
83,50036655,Charlie Mangieri,NW,TE,1,MST,3,31,0,25,10.3,0,0,0,0,0,0,3.1
83,50063027,Jordan Dingle,UK,TE,1,LAMON,1,31,0,31,31,0,0,0,0,0,0,3.1
85,50029591,Darren DeLaCroix,NCOL,TE,1,COL,2,30,0,17,15,0,0,0,0,0,0,3
86,50063324,Stetson Moore,LIBRTY,TE,1,CAMP,1,28,0,28,28,0,0,0,0,0,0,2.8
86,50007376,Jason Pirtle,NTX,TE,1,NWST,2,28,0,15,14,0,0,0,0,0,0,2.8
86,50046378,Travis Koontz,TXTECH,TE,1,HOU,4,28,0,9,7,0,0,0,0,0,0,2.8
86,50036401,Josiah Johnson,UMASS,TE,1,PITT,2,28,0,17,14,0,0,0,0,0,0,2.8
90,50054964,Deyunkrea Lewis,TROY,TE,1,SOUTH,2,27,0,19,13.5,0,0,0,0,0,0,2.7
91,50060396,Alex Lines,ARZ,TE,1,BYU,1,26,0,26,26,0,0,0,0,0,0,2.6
91,50032621,Peyton Hendershot,IND,TE,1,IOWA,3,26,0,12,8.7,0,0,0,0,0,0,2.6
93,50046658,Beau Johnson,GAS,TE,1,GARDWB,3,25,0,16,8.3,0,0,0,0,0,0,2.5
93,50054451,Benjamin Yurosek,STAN,TE,1,KANST,3,25,0,12,8.3,0,0,0,0,0,0,2.5
93,50038618,Seth Caillouet,TXST,TE,1,BAYL,2,25,0,20,12.5,0,0,0,0,0,0,2.5
96,50026966,Jeremiah Hall,OKL,TE,1,TULANE,4,24,0,12,6,0,0,0,0,0,0,2.4
97,50058897,Levi Gazarek,BOWLGR,TE,1,TENN,3,23,0,12,7.7,0,0,0,0,0,0,2.3
97,50007472,Ryan Carriere,CHARLT,TE,1,DUKE,1,23,0,23,23,0,0,0,0,1,0,2.3
97,50048224,Erick All,MICH,TE,1,WMICH,3,23,0,11,7.7,0,0,0,0,0,0,2.3
97,50026675,Austin Allen,NEBR,TE,1,ILL,2,23,0,14,11.5,0,0,0,0,0,0,2.3
97,50036052,David Martin-Robinson,TEMPL,TE,1,RUTGER,1,23,0,23,23,0,0,0,0,0,0,2.3
97,50046490,Parker Christensen,WYOM,TE,1,MONST,2,23,0,14,11.5,0,0,0,0,0,0,2.3
103,50063642,Jaedyn McKinstry,BOWLGR,TE,1,TENN,3,22,0,13,7.3,0,0,0,0,0,0,2.2
104,50063285,Gavin Bartholomew,PITT,TE,1,UMASS,3,21,0,7,7,0,0,0,0,0,0,2.1
105,50055212,Cole Finney,DUKE,TE,1,CHARLT,1,20,0,20,20,0,0,0,0,0,0,2
105,50055905,Rivaldo Fairweather,FLINT,TE,1,LIUB,1,20,0,20,20,0,0,0,0,0,0,2
107,50036845,Jared Rus,IOWAST,TE,1,NIOWA,1,19,0,19,19,0,0,0,0,0,0,1.9
107,50061874,Ron Tiavaasue,MSRST,TE,1,OKST,4,19,0,8,4.8,0,0,0,0,0,0,1.9
107,50036674,Zack Kuntz,OLD,TE,1,WAKE,3,19,0,9,6.3,0,0,0,0,0,0,1.9
107,50048520,Dominick Mazotti,SJST,TE,1,USC,1,19,0,19,19,0,0,0,0,0,0,1.9
107,50037963,Malcolm Epps,USC,TE,1,SJST,1,19,0,19,19,0,0,0,0,0,0,1.9
107,50021688,Anthony Mague,WM,TE,1,VIR,1,19,0,19,19,0,0,0,0,0,0,1.9
113,50063074,Emmanual Stevenson,ARKST,TE,1,CARK,3,18,0,8,6,0,0,0,0,0,0,1.8
113,50058632,William Parker,COLG,TE,1,BOSCOL,2,18,0,14,9,0,0,0,0,0,0,1.8
113,50038215,Alec Burton,OHIO,TE,1,SYRA,3,18,0,10,6,0,0,0,0,0,0,1.8
113,50048813,Blake Thorpe,UCDV,TE,1,TULSA,2,18,0,13,9,0,0,0,0,0,0,1.8
117,50048063,Alec Pell,COL,TE,1,NCOL,1,17,0,17,17,0,0,0,0,0,0,1.7
117,50027244,Roger Carter,GAST,TE,1,ARMY,2,17,0,15,8.5,0,0,0,0,0,0,1.7
117,50000693,David Fitzwater,NWST,TE,1,NTX,1,17,0,17,17,0,0,0,0,0,0,1.7
120,50055218,Luke Lachey,IOWA,TE,1,IND,1,15,0,15,15,0,0,0,0,0,0,1.5
120,50033632,Devin Miller,MARSH,TE,1,NAVY,1,15,0,15,15,0,0,0,0,0,0,1.5
120,50036585,Jeremy Ruckert,OHIOST,TE,1,MINNST,1,15,0,15,15,0,0,0,0,0,0,1.5
120,50039970,Greg Dulcich,UCLA,TE,1,HAWAII,1,15,0,15,15,0,0,0,0,0,0,1.5
120,50064508,Christopher Johnson,UCONN,TE,1,HOLY,1,15,0,15,15,0,0,0,0,0,0,1.5
120,50019994,Giovanni Fauolo Sr.,UNLV,TE,1,EWASH,2,15,0,8,7.5,0,0,0,0,0,0,1.5
126,50025035,Blake Kern,ARK,TE,1,RICE,1,14,0,14,14,0,0,0,0,0,0,1.4
126,50057001,Drake Dabney,BAYL,TE,1,TXST,1,14,0,14,14,0,0,0,0,0,0,1.4
126,50037150,Gary Williams,COLST,TE,1,SDKST,2,14,0,7,7,0,0,0,0,0,0,1.4
126,50027601,Chase Rogers,MISS,TE,1,LOU,2,14,0,10,7,0,0,0,0,0,0,1.4
126,50040251,Jordan Murray,MSRST,TE,1,OKST,1,14,0,14,14,0,0,0,0,0,0,1.4
126,50028828,Jaeger Bull,RICE,TE,1,ARK,2,14,0,10,7,0,0,0,0,0,0,1.4
