Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
176,50027778,Kyric McGowan,GTECH,WR,1,NILL,1,22,1,22,22,1,2,2,0,0,0,8.4
176,50032611,Ty Fryfogle,IND,WR,1,IOWA,5,84,0,33,16.8,0,0,0,0,0,0,8.4
176,50054495,Will Sheppard,VAND,WR,1,ETNST,9,84,0,15,9.3,0,0,0,0,0,0,8.4
181,50058922,Dallas Dixon,CMICH,WR,1,MISSR,5,83,0,27,16.6,0,0,0,0,0,0,8.3
181,50055492,Montana Lemonious-Craig,COL,WR,1,NCOL,2,23,1,17,11.5,0,0,0,0,0,0,8.3
181,50041907,Joe Wilkins Jr.,ND,WR,1,FLST,1,23,1,23,23,0,0,0,0,0,0,8.3
181,50027506,Elijah Cooks,NEVADA,WR,1,CAH,2,23,1,16,11.5,0,0,0,0,0,0,8.3
181,50033434,Isaiah Epps,UK,WR,1,LAMON,3,83,0,57,27.7,0,0,0,0,0,0,8.3
181,50050797,Jacob Cowing,UTEP,WR,1,BCOOK,2,23,1,17,11.5,0,0,0,0,0,0,8.3
187,50042037,Nikko Remigio,CAH,WR,1,NEVADA,7,22,1,6,3.1,0,0,0,0,0,0,8.2
187,50046228,Chris Toudle,NCST,WR,1,SFL,2,22,1,15,11,0,0,0,0,0,0,8.2
189,50042287,Phillip Brooks,KANST,WR,1,STAN,3,81,0,56,27,0,0,0,0,0,0,8.1
189,50056951,Ke'Shawn Williams,WAKE,WR,1,OLD,3,21,1,9,7,0,0,0,0,0,0,8.1
191,50046310,Bryce Kirtz,NW,WR,1,MST,7,80,0,41,11.4,0,0,0,0,0,0,8
191,50054324,Blake Nowell,TCU,WR,1,DUQ,1,20,1,20,20,0,0,0,0,0,0,8
191,50010583,Donnell Williams,TMRT,WR,1,WKENT,7,80,0,32,11.4,0,0,0,0,0,0,8
194,50037500,Shedrick Jackson,AUBRN,WR,1,AKRON,5,79,0,42,15.8,0,0,0,0,0,0,7.9
194,50054058,Jadon Thompson,CIN,WR,1,MIAOH,4,79,0,47,19.8,0,0,0,0,0,0,7.9
194,50068418,Titus Mokiao-Atimalala,UCF,WR,1,BOISE,3,19,1,8,6.3,0,0,0,0,1,0,7.9
197,50007590,Xavier Lane,MSRST,WR,1,OKST,8,78,0,21,9.8,0,0,0,0,1,0,7.8
197,50031350,Judd Cockett,SUTAH,WR,1,ARZST,2,10,0,9,5,2,8,4,1,0,0,7.8
199,50048609,Terrell Warner,NMXST,WR,1,SDST,10,79,0,15,7.9,1,-2,-2,0,0,0,7.7
200,50048479,Keric Wheatfall,FREST,WR,1,ORE,5,76,0,39,15.2,0,0,0,0,0,0,7.6
200,50038299,Jayden Reed,MST,WR,1,NW,5,64,0,23,12.8,1,12,12,0,0,0,7.6
200,50057875,Michael Drennen II,UK,WR,1,LAMON,0,0,0,0,0,3,16,5.3,1,0,0,7.6
200,50064835,Tyrin Smith,UTEP,WR,1,BCOOK,4,76,0,52,19,0,0,0,0,0,0,7.6
200,50037823,Tre Turner,VTECH,WR,1,NCAR,4,64,0,34,16,1,12,12,0,0,0,7.6
205,50011559,Trevon Bradford,OREGST,WR,1,PUR,5,75,0,21,15,0,0,0,0,0,0,7.5
206,50056286,CJ Daniels,LIBRTY,WR,1,CAMP,1,14,0,14,14,0,0,0,1,0,0,7.4
206,50008510,Jared Wyatt,NMXST,WR,1,SDST,5,74,0,42,14.8,0,0,0,0,0,0,7.4
206,50043017,Isaiah Hamilton,SJST,WR,1,USC,6,74,0,23,12.3,0,0,0,0,0,0,7.4
206,50039947,Chase Cota,UCLA,WR,1,LSU,1,14,1,14,14,0,0,0,0,0,0,7.4
206,50038088,Justin Garrett,UTEP,WR,1,NMXST,4,74,0,36,18.5,0,0,0,0,0,0,7.4
211,50048182,Xavier Weaver,SFL,WR,1,NCST,2,73,0,44,36.5,0,0,0,0,0,0,7.3
211,50048401,Joshua Cephus,UTSA,WR,1,ILL,6,73,0,37,12.2,0,0,0,0,0,0,7.3
213,50068490,Trace Bruckler,NMX,WR,1,HOUBAP,2,12,1,8,6,0,0,0,0,0,0,7.2
214,50018060,Jalen Williams,LOULAF,WR,1,TX,5,71,0,26,14.2,0,0,0,0,0,0,7.1
214,50031433,Terrance Greene Jr.,MONM,WR,1,MTNST,5,71,0,26,14.2,0,0,0,0,0,0,7.1
214,50026363,Emeka Emezie,NCST,WR,1,SFL,5,71,0,39,14.2,0,0,0,0,0,0,7.1
214,50054292,Keandre Lambert-Smith,PENNST,WR,1,WISC,4,71,0,52,17.8,0,0,0,0,0,0,7.1
214,50017901,Ayden Eberhardt,WYOM,WR,1,MONST,4,71,0,31,17.8,0,0,0,0,0,0,7.1
219,50048889,Dequece Carter,FORDM,WR,1,NEBR,5,69,0,25,13.8,0,0,0,0,0,0,6.9
219,50028222,Ty Jones,FREST,WR,1,UCONN,1,9,1,9,9,0,0,0,0,0,0,6.9
219,50057791,D'Ionte Smith,MISSR,WR,1,CMICH,2,69,0,63,34.5,0,0,0,0,0,0,6.9
222,50055206,Braden Smith,LOU,WR,1,MISS,3,5,1,4,1.7,0,0,0,0,0,0,6.86
223,50046425,Michael Mathison,AKRON,WR,1,AUBRN,7,68,0,24,9.7,0,0,0,0,1,0,6.8
223,50008948,Andrew Parchment,FLST,WR,1,ND,1,8,1,8,8,0,0,0,0,0,0,6.8
223,50029208,DJ Stubbs,LIBRTY,WR,1,CAMP,3,68,0,40,22.7,0,0,0,0,0,0,6.8
223,50031403,Chancellor Brewington,NEBR,WR,1,FORDM,2,8,1,6,4,0,0,0,0,0,0,6.8
223,50058232,Brennan Presley,OKST,WR,1,MSRST,4,68,0,33,17,0,0,0,0,0,0,6.8
228,50026080,CJ Lewis,BOSCOL,WR,1,COLG,3,67,0,31,22.3,0,0,0,0,0,0,6.7
228,50056659,Caullin Lacy,SALA,WR,1,SOUMIS,5,67,0,28,13.4,0,0,0,0,0,0,6.7
230,50003205,Talolo Limu-Jones,EWASH,WR,1,UNLV,6,65,0,25,10.8,0,0,0,0,0,0,6.5
230,50044625,Deion McShane,NIOWA,WR,1,IOWAST,5,65,0,37,13,0,0,0,0,0,0,6.5
230,50037920,Sam James,WVIR,WR,1,MARY,5,65,0,39,13,0,0,0,0,1,0,6.5
233,50061989,Cyrus Holder,DUQ,WR,1,TCU,2,64,0,37,32,0,0,0,0,0,0,6.4
233,50048472,Josh Kelly,FREST,WR,1,ORE,5,72,0,21,14.4,1,-8,-8,0,0,0,6.4
233,50033045,Mac Hippenhammer,MIAOH,WR,1,CIN,3,64,0,40,21.3,0,0,0,0,0,0,6.4
233,50036299,Shocky Jacques-Louis,PITT,WR,1,UMASS,3,33,0,17,11,4,31,7.8,0,0,0,6.4
237,50042572,Stefan Cobbs,BOISE,WR,1,UCF,4,63,0,18,15.8,0,0,0,0,0,0,6.3
237,50007830,Aaron Cephus,HAWAII,WR,1,PORTST,2,3,1,4,1.5,0,0,0,0,0,0,6.3
237,50037075,Kobe Smith,SDST,WR,1,NMXST,2,63,0,39,31.5,0,0,0,0,0,0,6.3
240,50043890,Will Huzzie,ETNST,WR,1,VAND,4,62,0,36,15.5,0,0,0,0,0,0,6.2
240,50057781,Jalin Hyatt,TENN,WR,1,BOWLGR,4,62,0,30,15.5,0,0,0,0,0,0,6.2
240,50061221,C.J. Hutton,UCDV,WR,1,TULSA,7,55,0,12,7.9,3,7,2.3,0,0,0,6.2
243,50037083,Erik Brooks,FREST,WR,1,UCONN,5,61,0,22,12.2,0,0,0,0,0,0,6.1
244,50031230,Tony Tate,WILL,WR,1,BALLST,2,-1,0,2,-0.5,2,1,0.5,1,0,0,6
245,50046528,Tayvian Cunningham,ARZ,WR,1,BYU,4,59,0,26,14.8,0,0,0,0,0,0,5.9
245,50046283,Tre Mosley,MST,WR,1,NW,4,59,0,26,14.8,0,0,0,0,0,0,5.9
245,50027402,Reggie Roberson Jr.,SMU,WR,1,ABCHR,3,59,0,47,19.7,0,0,0,0,0,0,5.9
